# peer-tiers.tsv — THE roster. One maintenance tier per peer, all 46, machine-readable.
#
# WHY THIS FILE EXISTS
#   The tier policy existed in CONFORMANCE-MATRIX.md §4 as prose and drifted: §4 named 17
#   peers while the cohort had grown to 46, so "re-run Tier-1" had no unambiguous meaning and
#   every re-pin turned into a full 45-peer census. This file is the single canonical home for
#   the assignment; §4 explains it, this defines it, and the tooling reads it.
#
# MAINTENANCE TIER != LANDSCAPE TIER. research/LANDSCAPE.md has its own tiers 1-5 which
#   classify the LANGUAGE LANDSCAPE (major platform ... functional/niche) and answer "what is
#   worth building". These answer "how often does this peer get re-measured". They are
#   deliberately spelled M1/M2/M3 so the two can never be confused again.
#
# WHAT A TIER MEANS (cadence only — a tier NEVER changes whether a peer may be published;
#   see CONFORMANCE-MATRIX.md §4):
#   M1           lockstep. Re-run on EVERY oracle re-pin; must reach 0-FAIL before the re-pin
#                is considered landed. This is the gate.
#   M2           priority catch-up. Re-run once M1 has converged.
#   M3           on-demand. Re-run with spare capacity, before a release, or on an adopter ask.
#   probe        paradigm/substrate probe. Re-measured when its own axis is touched, or before
#                a release. Real peers, but not what the cadence is for.
#   exploratory  NOT a deployable peer (CONFORMANCE-MATRIX.md §1 ‡). Never gates anything.
#
# last_measured_pin is the oracle commit a peer's CURRENT recorded verdict was measured at.
#   A peer whose pin != tools/oracle-pin.env `ref` is STALE — a documented, tracked state, not
#   a failure. `tools/tier-status.py` reports it; the census updates it.
#
# spec_pin is the SPEC revision this peer was last SWEPT to — a different fact from
#   last_measured_pin, which is the ORACLE. Added 2026-09-16 at the request of
#   entity-system-conformance, whose per-peer verdicts consume it (their ADR-0003 §7.3: a
#   verdict records the peer's identity, not its name).
#   `unknown` IS A VALUE AND A BLANK IS AN ERROR. They are different claims — an empty cell
#   reads as "not applicable" to one reader and "nobody has established this" to another —
#   and tools/spec-pin-gate.py refuses the blank.
#   WHY IT IS HERE AND NOT IN profile.toml: every peer's [spec] table already declares
#   `v7_version_pinned`, and conformance measured it before asking — present on 24 of 46,
#   five distinct v7-era values, three peers carrying the free-text "v0.8.0 / V8", and 0 of
#   46 mentioning 0.8.2 while the cohort sat at 0.8.2.25. A STALE field is worse than an
#   absent one: it parses, it is plausible, and nothing in the path goes red. So this column
#   ships with a WRITER (the sweep) and a GATE, which is the half that was missing.
#
# Columns: peer <TAB> tier <TAB> last_measured_pin <TAB> spec_pin <TAB> note
#
# FIVE TOOLS PARSE THIS FILE. Inserting spec_pin at index 3 MOVED `note` from 3 to 4, and
#   exactly one reader indexed it positionally (tools/tier-status.py, fixed in the same
#   commit) — it would have displayed the spec pin as the note with nothing going red.
#   Readers: tools/tier-status.py (fields by index), tools/run-cohort-census.sh (rewrites $3),
#   tools/run-s2-sweep.sh + tools/run-axis-sweep.sh ($1/$2), tools/arc-probe/summarize.py and
#   tools/arc-probe/run-mint-floor.sh ($1), tools/spec-pin-gate.py (BY HEADER NAME — it must
#   read this file as it stood at an arbitrary older commit, where index 3 is the note).
#   Audit every reader's EXTRACTION before moving a column here; `grep -rn peer-tiers` finds
#   the readers and says nothing about how they parse.
#
peer	tier	last_measured_pin	spec_pin	note
go	M1	78db4a9	0.8.2.25	clean-room; independence check on the generator
haskell	M1	78db4a9	0.8.2.25	STM substrate; cleanest conformance record
lean	M1	78db4a9	0.8.2.25	the proof vector — the only formal-methods discovery channel
ocaml	M1	78db4a9	0.8.2.25	the proven headline finder (A-OC-007)
swift	M1	78db4a9	0.8.2.25	sharpest string/grapheme instrument; adoption anchor
common-lisp	M2	78db4a9	0.8.2.25	proven finder (A-CL-009); pure-language full crypto
csharp	M2	78db4a9	0.8.2.25	major ecosystem
elixir	M2	78db4a9	0.8.2.25	production BEAM; native agility
java	M2	78db4a9	0.8.2.25	major ecosystem
kotlin	M2	78db4a9	0.8.2.25	JVM; sealed-Result + coroutines
python	M2	78db4a9	0.8.2.25	clean-room; large-ecosystem adoption
rust	M2	78db4a9	0.8.2.25	clean-room; compile-enforced store safety
typescript	M2	78db4a9	0.8.2.25	major ecosystem
ada	M3	78db4a9	0.8.2.25	structural store-safety via protected objects
c	M3	78db4a9	0.8.2.25	ubiquitous; found A-C-009
cobol	M3	78db4a9	0.8.2.25	FFI-hybrid; 756 · 0F
cpp	M3	78db4a9	0.8.2.25	reach peer
crystal	M3	78db4a9	0.8.2.25	CSP fibers; fixed-width int
dart	M3	78db4a9	0.8.2.25	sealed-Result + Future; BigInt-web
julia	M3	78db4a9	0.8.2.25	multiple-dispatch codec; JIT
nim	M3	78db4a9	0.8.2.25	compile-time macro codec; compiles-to-C
odin	M3	78db4a9	0.8.2.25	pure-Odin crypto; no-GC
php	M3	78db4a9	0.8.2.25	event-loop store-safety
prolog	M3	78db4a9	0.8.2.25	logic substrate; found A-PL-006
ruby	M3	78db4a9	0.8.2.25	dynamic; native agility
zig	M3	78db4a9	0.8.2.25	lightest supply chain
apl	probe	78db4a9	0.8.2.25	array value-model; 756 · 0F — was carried as UNMEASURABLE for a toolchain claim that was false
asm-arm64	probe	78db4a9	0.8.2.25	ISA port; 756 · 0F
asm-x86_64	probe	78db4a9	0.8.2.25	lowest-level substrate; 756 · 0F
datalog	probe	78db4a9	0.8.2.25	authority-as-query (Ascent); closes the logic frontier
forth	probe	78db4a9	0.8.2.25	stack-machine/typeless generator stress
fortran	probe	78db4a9	0.8.2.21	fixed-width signed-only integer model
io	probe	78db4a9	0.8.2.25	pure-prototype OO; single-thread event loop
oz	probe	78db4a9	0.8.2.25	dataflow-variable concurrency
pd	probe	78db4a9	0.8.2.25	Pure Data — only visual probe to clear the full core gate
rexx	probe	78db4a9	0.8.2.25	native-decimal number model
riscv64	probe	78db4a9	0.8.2.25	ISA port; 756 · 0F
rust-wasm	probe	78db4a9	0.8.2.25	compiled wasm32-wasip1, WasmEdge JIT
rust-wasm-wasmtime	probe	78db4a9	0.8.2.25	same module under wasmtime AOT
smalltalk	probe	78db4a9	0.8.2.25	pure-object/live-image message passing
sql	probe	78db4a9	0.8.2.25	authority-as-query (SQLite)
tcl	probe	78db4a9	0.8.2.25	EIAS / everything-is-a-string
unison	probe	78db4a9	0.8.2.21	content-addressed; no C-FFI hatch
wasm-wat	probe	78db4a9	0.8.2.25	hand-authored WebAssembly text
